CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
12261	13573	7	0.8789	2.015
13348	13573	7	0.7846	1.003
12598	13573	7	0.7941	20.025
12597	12598	7	0.8071	-18.010
11794	11981	7	0.7946	15.958
10726	10863	7	0.8261	1.003
11981	12598	7	0.8257	-20.026
10898	13428	7	0.8285	74.036
11818	12888	7	0.7989	-15.019
11981	12900	7	0.806	-17.974
12122	12139	7	0.791	18.010
10898	12262	7	0.8734	18.010
11818	13302	7	0.8149	-12.000
12658	13302	7	0.8059	0.001
13045	13445	7	0.8115	15.995
11981	13573	7	0.8848	-0.001
10429	13428	7	0.8151	1.979
10185	13445	7	0.7917	-10.057
10893	13445	7	0.8189	-22.021
11817	12261	7	0.7952	-2.016
10429	10726	7	0.7899	0.976
10429	13445	7	0.8094	-24.073
11794	12261	7	0.814	13.943
10429	11569	7	0.8598	-40.068
12122	13368	7	0.7866	0.000
11817	13152	7	0.7851	-15.995
10429	10863	7	0.8629	1.979
12597	13348	7	0.8085	1.012
12261	13348	7	0.7843	1.012
13368	13445	7	0.813	-2.016
12597	13152	7	0.8026	-13.979
10697	11569	7	0.7856	15.995
13573	13830	7	0.8041	2.091
10407	10429	7	0.8771	0.037
11569	13045	7	0.8463	0.000
10185	10429	7	0.8363	14.016
10407	10863	7	0.8347	2.016
12597	13656	7	0.79	18.011
10407	11569	7	0.8732	-40.031
11817	13573	7	0.7832	-0.001
10407	13445	7	0.8287	-24.036
12597	12734	7	0.8112	16.031
13339	13348	7	0.7847	-1.040
11981	13813	7	0.819	-1.943
11817	11981	7	0.8121	0.000
10185	10407	7	0.8703	13.979
10185	11569	7	0.8376	-26.052
12261	12598	7	0.8049	-18.010
12900	13152	7	0.8362	1.979
13813	13831	7	0.8333	-0.073
13406	13782	8	0.8168	13.112
12556	13711	8	0.8419	-13.013
12302	13936	8	0.8944	-58.042
12664	13936	8	0.9088	-102.068
12746	13695	8	0.8369	-102.067
12615	12992	8	0.9132	44.026
12356	12516	8	0.9	88.052
12516	13406	8	0.8866	30.010
13711	13782	8	0.8202	13.112
12516	13245	8	0.943	44.026
12585	12865	8	0.9854	-44.026
12556	13153	8	0.8841	-43.023
12227	13089	8	0.8965	132.079
